tau_ms,polarization,polarization_std
0.0001,1.016078713185989,0.028102434614359875
0.0301,0.6304031883025396,0.019614477415082415
0.0601,0.3917326340240316,0.017674518184770095
0.0901,0.2791962981234725,0.021090195161095716
0.1201,0.17940009527371908,0.014924588659064016
0.1501,0.1236849483738373,0.012812963099817339
0.1801,0.09838554653781276,0.015011672430307973
0.2101,0.06734227885526804,0.013959540908713581
0.2401,0.06921313608939124,0.016520212844397607
0.2701,0.056305668672835936,0.015913181278908815
0.3001,0.03725128389110448,0.0160815222080882
